Lemma,Number,Case,Form,Stemtype
гость,Plural,Dative,гостемъ,analogical
звѣрь,Plural,Dative,ꙁвѣремъ,analogical
звѣрь,Plural,Dative,ꙁвѣремъ,analogical
звѣрь,Plural,Dative,ꙁвѣремъ,analogical
звѣрь,Plural,Dative,ꙁвѣрь҆мъ,etymological
звѣрь,Plural,Dative,ꙁвѣрь҆мъ,etymological
людиѥ,Plural,Dative,людемъ,analogical
людиѥ,Plural,Dative,людемъ,analogical
людиѥ,Plural,Dative,людемъ,analogical
людиѥ,Plural,Dative,людемь,analogical
людиѥ,Plural,Dative,людемь҆,analogical
людиѥ,Plural,Dative,людь҆мъ,etymological
людиѥ,Plural,Locative,людехъ,analogical
людиѥ,Plural,Locative,людехъ,analogical
голѫбь,Singular,Instrumental,голѫбемъ,analogical
господь,Singular,Instrumental,гм꙯ь,ambiguous
господь,Singular,Instrumental,господьмь҆,etymological
огнь,Singular,Instrumental,огн҄емъ,analogical
огнь,Singular,Instrumental,огн҄емъ,analogical
огнь,Singular,Instrumental,огн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емъ,analogical
огнь,Singular,Instrumental,о҅гн҄емь҆,analogical
огнь,Singular,Instrumental,о҅гн҄ьмъ,etymological
пѫть,Singular,Instrumental,пѫтемъ,analogical
пѫть,Singular,Instrumental,пѫтемъ,analogical
пѫть,Singular,Instrumental,пѫтемъ,analogical
пѫть,Singular,Instrumental,пѫтемь,analogical
пѫть,Singular,Instrumental,пѫтемь҆,analogical
пѫть,Singular,Instrumental,пѫтемь҆,analogical
пѫть,Singular,Instrumental,пѫтемь҆,analogical
пѫть,Singular,Instrumental,пѫтьмъ,etymological
пѫть,Singular,Instrumental,пѫтьмь,etymological
пѫть,Singular,Instrumental,пѫтьмь,etymological
пѫть,Singular,Instrumental,пѫтьмь҆,etymological
пѫть,Singular,Instrumental,пѫть҆мъ,etymological
пѫть,Singular,Instrumental,пѫть҆мъ,etymological
пѫть,Singular,Instrumental,пѫть҆мь,etymological
пѫть,Singular,Instrumental,пѫть҆мь҆,etymological
пѫть,Singular,Instrumental,пѫть҆мь҆,etymological
пѫть,Singular,Instrumental,пѫть҆мь҆,etymological
