Lemma,Number,Case,Form,Current Status,Proposed Status,Action
господь,Singular,Nominative,г͞ь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,господь҆,,ambiguous,SET
господь,Singular,Nominative,гь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
,,,,,,
звѣрь,Singular,Nominative,ꙁвѣрь,,ambiguous,SET
звѣрь,Singular,Nominative,ꙁвѣрь҆,,ambiguous,SET
огнь,Singular,Nominative,огн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Nominative,о҅гн҄ь,,ambiguous,SET
оушидь,Singular,Nominative,о҄ушидь҆,,ambiguous,SET
пѫть,Singular,Nominative,пѫть҆,,ambiguous,SET
пѫть,Singular,Nominative,пѫть҆,,ambiguous,SET
пѫть,Singular,Nominative,пѫть҆,,ambiguous,SET
чрьвь,Singular,Nominative,чръвь҆,,ambiguous,SET
чрьвь,Singular,Nominative,чрь҆вь҆,,ambiguous,SET
господь,Singular,Nominative,господꙿ,,ambiguous,UNMATCHED
господь,Singular,Nominative,господꙿ,,ambiguous,UNMATCHED
господь,Singular,Nominative,г꙯ъ,,ambiguous,UNMATCHED
господь,Singular,Nominative,г꙯ъ,,ambiguous,UNMATCHED
звѣрь,Singular,Nominative,ꙁвѣрꙿ,,ambiguous,UNMATCHED
огнь,Singular,Nominative,о҅гнъ,,ambiguous,UNMATCHED
