Folio,Line,Book,Chapter,Lemma,Number,Case,Form,Morph,Pos,Rel,New Stemtype,
063v,21,1,9,дьнь,Dual,Accusative,дьни,-d---ma--i,Nb,adv,ambiguous,
147v,23,3,25,дьнь,Dual,Accusative,дь҆ни,-d---ma--i,Nb,adv,ambiguous,
157r,20,3,27,дьнь,Dual,Accusative,дь҆ни,-d---ma--i,Nb,adv,ambiguous,
263r,24,3,46,дьнь,Dual,Accusative,дьни,-d---ma--i,Nb,obl,ambiguous,
112v,18,1,19,ѥлень,Dual,Accusative,ѥ҅лени,-d---ma--i,Nb,obj,ambiguous,
112r,27,1,19,ѥлень,Dual,Dative,е҅лень҆ма,-d---md--i,Nb,obl,ambiguous,
112v,3,1,19,ѥлень,Dual,Genitive,ѥ҅лению,-d---mg--i,Nb,obl,ambiguous,
112v,22,1,19,ѥлень,Dual,Genitive,ѥ҅лению҄,-d---mg--i,Nb,obl,ambiguous,
096v,24,1,16,дьнь,Dual,Locative,дь҆нию҄,-d---ml--i,Nb,obl,analogical,
145r,7,3,25,дьнь,Dual,Locative,дь҆нь҆ю҄,-d---ml--i,Nb,obl,analogical,
147v,4,3,25,дьнь,Dual,Locative,дь҆нию҄,-d---ml--i,Nb,obl,analogical,
117r,14,1,19,дьнь,Dual,Nominative,дьни,-d---mn--i,Nb,sub,ambiguous,
058r,29,1,7,имѧ,Dual,Nominative,и҅мени,-d---nn--i,Nb,sub,ambiguous,
112r,7,1,19,ѥлень,Dual,Nominative,е҅лени,-d---mn--i,Nb,sub,ambiguous,
112v,3,1,19,ѥлень,Dual,Nominative,ѥ҅лениі,-d---mn--i,Nb,sub,ambiguous,
044r,26,1,6,брѣмѧ,Plural,Accusative,брѣмена,-p---na--i,Nb,obj,etymological,
279r,15,3,48,брѣмѧ,Plural,Accusative,брѣмена,-p---na--i,Nb,obj,etymological,
050r,28,1,7,врѣмѧ,Plural,Accusative,врѣмена,-p---na--i,Nb,obl,etymological,
096r,1,1,16,врѣмѧ,Plural,Accusative,врѣмена,-p---na--i,Nb,obl,etymological,
260r,4,3,46,врѣмѧ,Plural,Accusative,врѣмена,-p---na--i,Nb,obl,etymological,
267v,23,3,47,врѣмѧ,Plural,Accusative,врѣмена,-p---na--i,Nb,obl,etymological,
278v,29,3,48,врѣмѧ,Plural,Accusative,врѣмена,-p---na--i,Nb,obl,etymological,
285r,9,3,48,врѣмѧ,Plural,Accusative,врѣмена,-p---na--i,Nb,obl,etymological,
016v,5,1,3,дьнь,Plural,Accusative,дь҆ни,-p---ma--i,Nb,obl,ambiguous,
