folio,line,book,chapter,form,bform,lemma,stem,stemtype,pos,morph,number,case,rel,after
002r,06,1,1,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
002r,30,1,1,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
003r,06,1,1,имⱕ,имꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
003v,26,1,1,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,part,
004v,30,1,1,врѧмени,,врѣмѧ,n stem,etymological,Nb,-s---nd--i,-,nom,sub,
005v,23,1,1,и͑менемь,и҅менемь,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
006r,19,1,1,дьнь,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
006r,25,1,1,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,part,. 
007v,08,1,1,день͗,день҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
008r,02,1,1,дьниї,,дьнь,n stem,,Nb,-p---mg--i,-,m,part,
008r,18,1,2,день͗,день҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,. 
008r,19,1,2,,врѣмꙙ,врѣмѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
008r,21,1,2,и͑менемь,и҅менемь,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
008v,01,1,2,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
008v,13,1,2,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,part,. 
009v,06,1,2,имⱕ,имꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
009v,19,1,2,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,. 
010r,10,1,2,день͗,день҆,дьнь,n stem,etymological,Nb,-s---mn--i,-,m,xobj,
011r,02,1,2,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---nn--i,-,nom,sub,
011r,07,1,2,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
011r,12,1,2,и͑мене,и҅мене,имѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obj,
011r,14,1,2,и͑мена,и҅мена,имѧ,n stem,etymological,Nb,-p---nn--i,-,nom,sub,
012r,13,1,2,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obl,
012r,28,1,3,дьнь͗,дьнь҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
012v,01,1,3,врѣменехъ,,врѣмѧ,n stem,analogical,Nb,-p---nl--i,-,nom,obl,
012v,21,1,3,корене,,корень,n stem,etymological,Nb,-s---mg--i,-,m,xobj,
012v,26,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
012v,29,1,3,именемь,,имѧ,n stem,analogical,Nb,-s---ni--i,-,nom,atr,
013r,01,1,3,врѣмени,,врѣмѧ,n stem,etymological,Nb,-s---nd--i,-,nom,sub,
013v,12,1,3,врѣмене,,врѣмѧ,n stem,etymological,Nb,-s---ng--i,-,nom,obl,
013v,13,1,3,день,,дьнь,n stem,,Nb,-s---ma--i,-,m,obj,
013v,22,1,3,день͗,день҆,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
014v,02,1,3,племене,,племѧ,n stem,etymological,Nb,-s---ng--i,-,nom,xobj,. 
015r,02,1,3,дь͗ни,дь҆ни,дьнь,n stem,analogical,Nb,-s---ml--i,-,m,obl,
016r,09,1,3,дь͗ниї,дь҆ниї,дьнь,n stem,,Nb,-p---mg--i,-,m,obl,. 
016v,01,1,3,дьнъ,,дьнь,n stem,,Nb,-s---ma--i,-,m,adv,
016v,05,1,3,дь͗ни,дь҆ни,дьнь,n stem,,Nb,-p---ma--i,-,m,obl,
018r,06,1,3,день,,дьнь,n stem,,Nb,-s---ma--i,-,m,obl,
020v,07,1,3,и͑мⱕ,и҅мꙙ,имѧ,n stem,etymological,Nb,-s---na--i,-,nom,obj,
