Lemma,Number,Case,Form,Stemtype
дъщи,Singular,Nominative,дъшти,etymological
дъщи,Singular,Nominative,дъшти,etymological
дъщи,Singular,Nominative,дь҆шти,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мати,etymological
мати,Singular,Nominative,мт꙯и,etymological
мати,Singular,Nominative,мт꙯и,etymological
дъщи,Singular,Accusative,дьштерь҆,ambiguous
дъщи,Singular,Accusative,дьштерь҆,ambiguous
дъщи,Singular,Accusative,дь҆штерь,ambiguous
дъщи,Singular,Accusative,дь҆штерь,ambiguous
дъщи,Singular,Accusative,дь҆штерь҆,ambiguous
мати,Singular,Accusative,матерь,ambiguous
мати,Singular,Accusative,матерь,ambiguous
мати,Singular,Accusative,матерь҆,ambiguous
мати,Singular,Accusative,матерь҆,ambiguous
дъщи,Singular,Genitive,дь҆штере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матере,etymological
мати,Singular,Genitive,матери,analogical
мати,Singular,Genitive,матери,analogical
мати,Singular,Dative,матери,analogical
мати,Singular,Dative,матери,analogical
мати,Singular,Dative,матери,analogical
мати,Singular,Instrumental,материѭ҄,ambiguous
мати,Singular,Instrumental,материѭ҄,ambiguous
мати,Singular,Instrumental,матерь҆ѭ҄,ambiguous
мати,Singular,Instrumental,матерь҆ѭ҄,ambiguous
мати,Singular,Instrumental,матерь҆ѭ҄,ambiguous
мати,Singular,Instrumental,мрь҆тиѭ҄,ambiguous
дъщи,Singular,Vocative,дь҆шти,etymological
дъщи,Singular,Vocative,дь҆шті,etymological
мати,Plural,Nominative,матери,etymological
дъщи,Plural,Accusative,дьштери,etymological
дъщи,Plural,Accusative,дьштери,etymological
дъщи,Plural,Accusative,дь҆штери,etymological
мати,Plural,Dative,матеремъ,etymological
мати,Plural,Dative,матеремъ,etymological
мати,Plural,Dative,матеремь҆,etymological
дъщи,Plural,Instrumental,дь҆штерми,etymological
дъщи,Plural,Locative,дьштерехъ,analogical
