Lemma,Number,Case,Form,Stemtype
печать,Singular,Nominative,печать҆,ambiguous
печать,Plural,Nominative,печате,etymological
печать,Plural,Accusative,печати,etymological
печать,Plural,Accusative,печати,etymological
печать,Plural,Accusative,печати,etymological
печать,Plural,Accusative,печатии,analogical
лакъть,Plural,Genitive,лакътъ,ambiguous
лакъть,Plural,Genitive,лакътъ,ambiguous
лакъть,Plural,Genitive,лакътъ,ambiguous
лакъть,Plural,Genitive,лакътъ,ambiguous
ногъть,Plural,Genitive,ногътии҆,analogical
печать,Plural,Dative,печатьмь,etymological
печать,Plural,Dative,печать҆мь҆,etymological
лакъть,Plural,Instrumental,лактꙑ,analogical
лакъть,Plural,Instrumental,лактꙑ,analogical
ногъть,Plural,Instrumental,ногтꙑ,analogical
ногъть,Plural,Instrumental,ногътьми,etymological
ногъть,Plural,Instrumental,ногъть҆ми,etymological
ногъть,Plural,Instrumental,ногътꙑ,analogical
печать,Plural,Accusative,печати,etymological
