Lemma,Number,Case,Form,Stemtype
благодѣтель,Singular,Nominative,благодѣтел҄ь,etymological
въздатель,Singular,Nominative,вь҆ꙁдател҄ь,etymological
възискатель,Singular,Nominative,вь҆ꙁискател҄ь,etymological
вьседрьжитель,Singular,Nominative,вь҆седръжител҄ь,etymological
вьседрьжитель,Singular,Nominative,вь҆седръжител҄ь,etymological
гонитель,Singular,Nominative,гонител҄ь,etymological
гоубитель,Singular,Nominative,гоубител҄ь,etymological
досадитель,Singular,Nominative,досадител҄ь,etymological
досадитель,Singular,Nominative,досадител҄ь,etymological
дѣлатель,Singular,Nominative,дѣлател҄ь,etymological
дѣлатель,Singular,Nominative,дѣлател҄ь,etymological
дѣлатель,Singular,Nominative,дѣлател҄ь,etymological
дѣлатель,Singular,Nominative,дѣлател҄ь,etymological
зиждитель,Singular,Nominative,ꙁиждител҄ь,etymological
зьдатель,Singular,Nominative,ꙁъдател҄ь,etymological
избавитель,Singular,Nominative,и҅ꙁбавител҄ь,etymological
избавитель,Singular,Nominative,и҅ꙁбавител҄ь,etymological
исправитель,Singular,Nominative,и҅справител҄ь,etymological
мѫчитель,Singular,Nominative,мѫчител҄ь,etymological
мѫчитель,Singular,Nominative,мѫчител҄ь,etymological
обадитель,Singular,Nominative,о҅бадител҄ь,etymological
обадитель,Singular,Nominative,о҅бадител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
оучитель,Singular,Nominative,о҄учител҄ь,etymological
подадитель,Singular,Nominative,подадител҄ь,etymological
покръвитель,Singular,Nominative,покровител҄ь,etymological
родитель,Singular,Nominative,родител҄ь,etymological
свободитель,Singular,Nominative,свободител҄ь,etymological
свѣтитель,Singular,Nominative,свѣтител҄ь,etymological
свѧтитель,Singular,Nominative,свꙙтител҄ь,etymological
свѧтитель,Singular,Nominative,ст꙯ител҄ь,etymological
строитель,Singular,Nominative,Строи҅тел҄ь,etymological
съвѣдѣтель,Singular,Nominative,съвѣдѣтел҄ь,etymological
съвѣдѣтель,Singular,Nominative,сь҆вѣдѣтел҄ь,etymological
съвѣдѣтель,Singular,Nominative,сь҆вѣдѣтел҄ь,etymological
съвѣдѣтель,Singular,Nominative,сь҆вѣдѣтел҄ь,etymological
съдѣтель,Singular,Nominative,сьдѣтел҄ь,etymological
съдѣтель,Singular,Nominative,сь҆дѣтел҄ь,etymological
съпаситель,Singular,Nominative,съпасител҄ь,etymological
