LEMMA,BIRNBAUM FOLIO,NUMBER,CASE,CASE MUST BE ,FORM,STEMTYPE WAS,STEMTYPE MUST BE,,,,,,,,,,,,,,,,,,,,,,
цръкꙑ,18r09,Singular,Accusative,Accusative,црь҆къве,ambiguous,analogical,,,,,,,цръкъве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
любꙑ,198r10,Singular,Genitive,Accusative,любьве,etymological,analogical,,,,,,,црь҆къве,цръкꙑ,,,174v09,,Accusative,,,,,,Accusative,,,
любꙑ,102r23,Singular,Genitive,Accusative,любь҆ве,etymological,analogical,,,,,,,црь҆кʼве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,
любꙑ,102r27,Singular,Genitive,Accusative,любь҆ве,etymological,analogical,,,,,,црь҆кꙿве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
любꙑ,192v29,Singular,Genitive,Accusative,любь҆ве,etymological,analogical,,,,,,любь҆ве,,любꙑ,,,,174v09,,Genitive,,,,,,,,Accusative
любꙑ,193r09,Singular,Genitive,Accusative,любь҆ве,etymological,analogical,,,,,,любь҆ве,,любꙑ,,,,174v09,,Genitive,,,,,,,,Accusative
любꙑ,200r19,Singular,Genitive,Accusative,любь҆ве,etymological,analogical,,,,,,цръкъве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
смокꙑ,172r20,Singular,Genitive,Accusative,смокве,etymological,analogical,,,,,,цръкъве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
смокꙑ,172r25,Singular,Genitive,Accusative,смокве,etymological,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
смокꙑ,173r07,Singular,Genitive,Accusative,смокве,etymological,analogical,,,,,,црь҆кве,,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,
смокꙑ,175v02,Singular,Genitive,Accusative,смокве,etymological,analogical,,,,,,цръкъве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
смокꙑ,175v03,Singular,Genitive,Accusative,смокве,etymological,analogical,,,,,,црькъве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
смокꙑ,175v09,Singular,Genitive,Accusative,смокве,etymological,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
смокꙑ,175v13,Singular,Genitive,Accusative,смокве,etymological,analogical,,,,,,цръкъве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
смокꙑ,176v18,Singular,Genitive,Accusative,смокве,etymological,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
смокꙑ,173v05,Singular,Genitive,Nominative,смокви,analogical,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
смокꙑ,174v04,Singular,Genitive,Nominative,смокви,analogical,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
смокꙑ,150v14,Singular,Genitive,Accusative,смокъве,etymological,analogical,,,,,,црькъве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
цръкꙑ,216r10,Singular,Genitive,Accusative,цръкве,etymological,analogical,,,,,,цръкъве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
цръкꙑ,12r21,Singular,Genitive,Accusative,цръкъве,etymological,analogical,,,,,,цръкъве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
цръкꙑ,104v27,Singular,Genitive,Accusative,цръкъве,etymological,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
цръкꙑ,118v26,Singular,Genitive,Accusative,цръкъве,etymological,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
цръкꙑ,114v29,Singular,Genitive,Accusative,црькъве,etymological,analogical,,,,,,цръкꙿве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
цръкꙑ,107v28,Singular,Genitive,Accusative,црь҆къве,etymological,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
цръкꙑ,114v20,Singular,Genitive,Accusative,црь҆къве,etymological,analogical,,,,,,смокъве,смокꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
цръкꙑ,140r11,Singular,Genitive,Accusative,црь҆къве,etymological,analogical,,,,,,црь҆кꙿве,цръкꙑ,,,174v09,,Genitive,,,,,,,,Accusative,,
цръкꙑ,141r24,Singular,Genitive,Accusative,црь҆къве,etymological,analogical,,,,,,црь҆къве,цръкꙑ,,,174v09,,Locative,,,,,,,,Accusative,,
цръкꙑ,226v09,Singular,Genitive,Accusative,црь҆къве,etymological,analogical,,,,,,смокве,,смокꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
цръкꙑ,159v21,Singular,Genitive,Accusative,црь҆кꙿве,etymological,analogical,,,,,,смокве,,смокꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
цръкꙑ,271r20,Singular,Genitive,Accusative,цр꙯къве,etymological,analogical,,,,,,смокве,,смокꙑ,,,174v09,,Genitive,,,,,,,,Accusative,
цръкꙑ,266v10,Singular,Genitive,Accusative,ц꙯рꙿкве,etymological,analogical,,,,,,смокви,,смокꙑ,,,174v09,,Genitive,,,,,,,,Nominative,
