Lemma,,Number,Case,Form,Stemtype,SEV,must be,must be
кръвь,,Singular,Nominative,кръвь҆,analogical,103/27,,
кръвь,,Singular,Nominative,кръвь҆,analogical,419/22,,
кръвь,,Singular,Nominative,кръвь҆,analogical,485/13,,
кръвь,,Singular,Nominative,крьвь,analogical,428/5,,
кръвь,,Singular,Nominative,крьвь҆,analogical,419/18,,
кръвь,,Singular,Nominative,крь҆вь,analogical,236/11,,
кръвь,,Singular,Nominative,крь҆вь҆,analogical,419/21,,
кръвь,,Singular,Nominative,крь҆вь҆,analogical,474/10,,
кръвь,,Singular,Nominative,крь҆вь҆,analogical,483/4,,
кръвь,,Singular,Nominative,крь҆вь҆,analogical,483/21,,
кръвь,,Singular,Nominative,крь҆вь҆,analogical,483/23,,
любꙑ,,Singular,Nominative,любꙑ,etymological,275/1,,
любꙑ,,Singular,Nominative,любꙑ,etymological,332/21,,
любꙑ,,Singular,Nominative,любꙑ,etymological,400/3,,
любꙑ,,Singular,Nominative,любꙑ,etymological,404/29,,
любꙑ,,Singular,Nominative,любꙑ,etymological,456/15,,
неплодꙑ,,Singular,Nominative,неплодꙑ,etymological,249/12,,
смокꙑ,,Singular,Nominative,смокꙑ,etymological,301/12,,
смокꙑ,,Singular,Nominative,смокꙑ,etymological,345/10,,
смокꙑ,,Singular,Nominative,смокꙑ,etymological,345/25,,
смокꙑ,,Singular,Nominative,смокꙑ,etymological,350/12,,
смокꙑ,,Singular,Nominative,смокꙑ,etymological,350/15,,
смокꙑ,,Singular,Nominative,смокꙑ,etymological,350/19,,
смокꙑ,,Singular,Nominative,смокꙑ,etymological,352/1,,
смокꙑ,,Singular,Nominative,смокꙑ,etymological,352/6,,
цръкꙑ,,Singular,Nominative,цръкꙑ,etymological,221/23,,
цръкꙑ,,Singular,Nominative,цръкꙑ,etymological,282/17,,
цръкꙑ,,Singular,Nominative,цръкꙑ,etymological,332/16,,
цръкꙑ,,Singular,Nominative,цръкꙑ,etymological,349/13,,
цръкꙑ,,Singular,Nominative,цръкꙑ,etymological,534/7,,
цръкꙑ,,Singular,Nominative,црькꙑ,etymological,418/13,,
цръкꙑ,,Singular,Nominative,црь҆кꙑ,etymological,198/7,,
цръкꙑ,,Singular,Nominative,црь҆кꙑ,etymological,396/4,,
кръвь,,Singular,Accusative,кръвь,ambiguous,415/14,,
кръвь,,Singular,Accusative,кръвь҆,ambiguous,60/23,,
кръвь,,Singular,Accusative,кръвь҆,ambiguous,354/2,,
кръвь,,Singular,Accusative,крьвь,ambiguous,414/24,,
кръвь,,Singular,Accusative,крьвь,ambiguous,419/29,,
кръвь,,Singular,Accusative,крьвь,ambiguous,457/21,,
кръвь,,Singular,Accusative,крьвь,ambiguous,483/17,,
кръвь,,Singular,Accusative,крьвь,ambiguous,141/23,,
кръвь,,Singular,Accusative,крьвь҆,ambiguous,414/22,,
кръвь,,Singular,Accusative,крьвь҆,ambiguous,499/29,,
кръвь,,Singular,Accusative,крь҆вь,ambiguous,398/27,,
кръвь,,Singular,Accusative,крь҆вь,ambiguous,422/16,,
кръвь,,Singular,Accusative,крь҆вь,ambiguous,528/11,,
кръвь,,Singular,Accusative,крь҆вь҆,ambiguous,122/16,,
кръвь,,Singular,Accusative,крь҆вь҆,ambiguous,362/30,,
кръвь,,Singular,Accusative,крь҆вь҆,ambiguous,387/12,,
кръвь,,Singular,Accusative,крь҆вь҆,ambiguous,483/19,,
любꙑ,,Singular,Accusative,любьвь,ambiguous,299/9,,
цръкꙑ,,Singular,Accusative,црькъвь,ambiguous,4/2,,
цръкꙑ,,Singular,Accusative,црь҆къве,ambiguous,35/9,,analogical
цръкꙑ,,Singular,Accusative,црь҆къвь҆,ambiguous,485/28,,
цръкꙑ,,Singular,Accusative,црь҆къвь҆,ambiguous,505/9,,
кръвь,,Singular,Genitive,кръве,etymological,136/4,,
кръвь,,Singular,Genitive,кръви,analogical,472/7,,
кръвь,,Singular,Genitive,кръви,analogical,534/10,,
кръвь,,Singular,Genitive,кръви,analogical,541/18,,
кръвь,,Singular,Genitive,крьви,analogical,57/9,,
кръвь,,Singular,Genitive,крьви,analogical,415/11,,
кръвь,,Singular,Genitive,крь҆ви,analogical,51/13,,
кръвь,,Singular,Genitive,крь҆ви,analogical,51/15,,
кръвь,,Singular,Genitive,крь҆ви,analogical,387/28,,
любꙑ,,Singular,Genitive,любьве,etymological,49/5,,
любꙑ,,Singular,Genitive,любьве,etymological,50/8,,
любꙑ,,Singular,Genitive,любьве,etymological,71/13,,
любꙑ,,Singular,Genitive,любьве,etymological,395/10,Accusative,analogical
любꙑ,,Singular,Genitive,любь҆ве,etymological,203/23,Accusative,analogical
любꙑ,,Singular,Genitive,любь҆ве,etymological,203/27,Accusative,analogical
любꙑ,,Singular,Genitive,любь҆ве,etymological,207/3,,
