Token Number,Lemma,Number,Case,Form,Stemtype,Birnbaum,SEV,stem type must be
16972,кръвь,Singular,Nominative,кръвь҆,analogical,53r27,103/27,
67942,кръвь,Singular,Nominative,кръвь҆,analogical,210r22,419/22,
80350,кръвь,Singular,Nominative,кръвь҆,analogical,243r13,485/13,
69469,кръвь,Singular,Nominative,крьвь,analogical,214v05,428/5,
67914,кръвь,Singular,Nominative,крьвь҆,analogical,210r18,419/18,
36825,кръвь,Singular,Nominative,крь҆вь,analogical,118v11,236/11,
67931,кръвь,Singular,Nominative,крь҆вь҆,analogical,210r21,419/21,
78101,кръвь,Singular,Nominative,крь҆вь҆,analogical,237v10,474/10,
79878,кръвь,Singular,Nominative,крь҆вь҆,analogical,242r04,483/4,
79998,кръвь,Singular,Nominative,крь҆вь҆,analogical,242r21,483/21,
80013,кръвь,Singular,Nominative,крь҆вь҆,analogical,242r23,483/23,
43214,любꙑ,Singular,Nominative,любꙑ,etymological,138r01,275/1,
52712,любꙑ,Singular,Nominative,любꙑ,etymological,166v21,332/21,
64272,любꙑ,Singular,Nominative,любꙑ,etymological,200v03,400/3,
65144,любꙑ,Singular,Nominative,любꙑ,etymological,202v29,404/29,
74713,любꙑ,Singular,Nominative,любꙑ,etymological,228v15,456/15,
38934,неплодꙑ,Singular,Nominative,неплодꙑ,etymological,125r12,249/12,
54838,смокꙑ,Singular,Nominative,смокви,analogical,173v05,346/5,
55162,смокꙑ,Singular,Nominative,смокви,analogical,174v04,348/4,
47461,смокꙑ,Singular,Nominative,смокꙑ,etymological,151r12,301/12,
54702,смокꙑ,Singular,Nominative,смокꙑ,etymological,173r10,345/10,
54781,смокꙑ,Singular,Nominative,смокꙑ,etymological,173r25,345/25,
55538,смокꙑ,Singular,Nominative,смокꙑ,etymological,175v12,350/12,
55560,смокꙑ,Singular,Nominative,смокꙑ,etymological,175v15,350/15,
55583,смокꙑ,Singular,Nominative,смокꙑ,etymological,175v19,350/19,
55810,смокꙑ,Singular,Nominative,смокꙑ,etymological,176v01,352/1,
55839,смокꙑ,Singular,Nominative,смокꙑ,etymological,176v06,352/6,
34622,цръкꙑ,Singular,Nominative,цръкꙑ,etymological,111r23,221/23,
44378,цръкꙑ,Singular,Nominative,цръкꙑ,etymological,141v17,282/17,
52691,цръкꙑ,Singular,Nominative,цръкꙑ,etymological,166v16,332/16,
55363,цръкꙑ,Singular,Nominative,цръкꙑ,etymological,175r13,349/13,
90238,цръкꙑ,Singular,Nominative,цръкꙑ,etymological,267v07,534/7,
67707,цръкꙑ,Singular,Nominative,црькꙑ,etymological,209v13,418/13,
31207,цръкꙑ,Singular,Nominative,црь҆кꙑ,etymological,99v07,198/7,
63605,цръкꙑ,Singular,Nominative,црь҆кꙑ,etymological,198v04,396/4,
67171,кръвь,Singular,Accusative,кръвь,ambiguous,208r14,415/14,
9835,кръвь,Singular,Accusative,кръвь҆,ambiguous,30v23,60/23,
56141,кръвь,Singular,Accusative,кръвь҆,ambiguous,177v02,354/2,
67050,кръвь,Singular,Accusative,крьвь,ambiguous,207v24,414/24,
67981,кръвь,Singular,Accusative,крьвь,ambiguous,210r29,419/29,
74926,кръвь,Singular,Accusative,крьвь,ambiguous,229r21,457/21,
79971,кръвь,Singular,Accusative,крьвь,ambiguous,242r17,483/17,
99054,кръвь,Singular,Accusative,крьвь,ambiguous,72r23,141/23,
67037,кръвь,Singular,Accusative,крьвь҆,ambiguous,207v22,414/22,
83139,кръвь,Singular,Accusative,крьвь҆,ambiguous,250r29,499/29,
64077,кръвь,Singular,Accusative,крь҆вь,ambiguous,199v27,398/27,
68480,кръвь,Singular,Accusative,крь҆вь,ambiguous,211v16,422/16,
89029,кръвь,Singular,Accusative,крь҆вь,ambiguous,264v11,528/11,
20246,кръвь,Singular,Accusative,крь҆вь҆,ambiguous,62v16,122/16,
57660,кръвь,Singular,Accusative,крь҆вь҆,ambiguous,181v30,362/30,
62104,кръвь,Singular,Accusative,крь҆вь҆,ambiguous,194r12,387/12,
79987,кръвь,Singular,Accusative,крь҆вь҆,ambiguous,242r19,483/19,
63459,любꙑ,Singular,Accusative,любьве,analogical,198r10,395/10,
47064,любꙑ,Singular,Accusative,любьвь,ambiguous,150r09,299/9,
31989,любꙑ,Singular,Accusative,любь҆ве,analogical,102r23,203/23,
32011,любꙑ,Singular,Accusative,любь҆ве,analogical,102r27,203/27,
61661,любꙑ,Singular,Accusative,любь҆ве,analogical,192v29,384/29,
61724,любꙑ,Singular,Accusative,любь҆ве,analogical,193r09,385/9,
64190,любꙑ,Singular,Accusative,любь҆ве,analogical,200r19,399/19,
54401,смокꙑ,Singular,Accusative,смокве,analogical,172r20,343/20,
54426,смокꙑ,Singular,Accusative,смокве,analogical,172r25,343/25,
54675,смокꙑ,Singular,Accusative,смокве,analogical,173r07,345/7,
55475,смокꙑ,Singular,Accusative,смокве,analogical,175v02,350/2,
55488,смокꙑ,Singular,Accusative,смокве,analogical,175v03,350/3,
55523,смокꙑ,Singular,Accusative,смокве,analogical,175v09,350/9,
55544,смокꙑ,Singular,Accusative,смокве,analogical,175v13,350/13,
55898,смокꙑ,Singular,Accusative,смокве,analogical,176v18,352/18,
47291,смокꙑ,Singular,Accusative,смокъве,analogical,150v14,300/14,
70007,цръкꙑ,Singular,Accusative,цръкве,analogical,216r10,431/10,
3702,цръкꙑ,Singular,Accusative,цръкъве,analogical,12r21,23/21,
32683,цръкꙑ,Singular,Accusative,цръкъве,analogical,104v15,208/15,
32743,цръкꙑ,Singular,Accusative,цръкъве,analogical,104v27,208/27,
34505,цръкꙑ,Singular,Accusative,цръкъве,analogical,110v29,220/29,
35555,цръкꙑ,Singular,Accusative,цръкъве,analogical,114r27,227/27,
35740,цръкꙑ,Singular,Accusative,цръкъве,analogical,115r06,229/6,
36896,цръкꙑ,Singular,Accusative,цръкъве,analogical,118v26,236/26,
44794,цръкꙑ,Singular,Accusative,цръкꙿве,analogical,143r10,285/10,
34600,цръкꙑ,Singular,Accusative,црькъве,analogical,111r19,221/19,
35710,цръкꙑ,Singular,Accusative,црькъве,analogical,114v29,228/29,
502,цръкꙑ,Singular,Accusative,црькъвь,ambiguous,2v02,4/2,
8489,цръкꙑ,Singular,Accusative,црь҆кʼве,analogical,26v08,52/8,
34282,цръкꙑ,Singular,Accusative,црь҆кве,analogical,110r10,219/10,
5634,цръкꙑ,Singular,Accusative,црь҆къве,analogical,18r09,35/9,
33620,цръкꙑ,Singular,Accusative,црь҆къве,analogical,107v28,214/28,
34723,цръкꙑ,Singular,Accusative,црь҆къве,analogical,111v13,222/13,
35575,цръкꙑ,Singular,Accusative,црь҆къве,analogical,114v01,228/1,
35585,цръкꙑ,Singular,Accusative,црь҆къве,analogical,114v03,228/3,
35667,цръкꙑ,Singular,Accusative,црь҆къве,analogical,114v20,228/20,
43881,цръкꙑ,Singular,Accusative,црь҆къве,analogical,140r11,279/11,
44250,цръкꙑ,Singular,Accusative,црь҆къве,analogical,141r24,281/24,
45277,цръкꙑ,Singular,Accusative,црь҆къве,analogical,144v07,288/7,
52332,цръкꙑ,Singular,Accusative,црь҆къве,analogical,165v11,330/11,
73916,цръкꙑ,Singular,Accusative,црь҆къве,analogical,226v09,452/9,
80450,цръкꙑ,Singular,Accusative,црь҆къвь҆,ambiguous,243r28,485/28,
84259,цръкꙑ,Singular,Accusative,црь҆къвь҆,ambiguous,253r09,505/9,
31526,цръкꙑ,Singular,Accusative,црь҆кꙿве,analogical,100v13,200/13,
50474,цръкꙑ,Singular,Accusative,црь҆кꙿве,analogical,159v21,318/21,
91748,цръкꙑ,Singular,Accusative,цр꙯къве,analogical,271r20,541/20,
89841,цръкꙑ,Singular,Accusative,ц꙯рꙿкве,analogical,266v10,532/10,
22649,кръвь,Singular,Genitive,кръве,etymological,69v04,136/4,
77696,кръвь,Singular,Genitive,кръви,analogical,236v07,472/7,
90257,кръвь,Singular,Genitive,кръви,analogical,267v10,534/10,
91729,кръвь,Singular,Genitive,кръви,analogical,271r18,541/18,
9264,кръвь,Singular,Genitive,крьви,analogical,29r09,57/9,
67154,кръвь,Singular,Genitive,крьви,analogical,208r11,415/11,
8353,кръвь,Singular,Genitive,крь҆ви,analogical,26r13,51/13,
8365,кръвь,Singular,Genitive,крь҆ви,analogical,26r15,51/15,
62197,кръвь,Singular,Genitive,крь҆ви,analogical,194r28,387/28,
7986,любꙑ,Singular,Genitive,любьве,etymological,25r05,49/5,
8156,любꙑ,Singular,Genitive,любьве,etymological,25v08,50/8,
11532,любꙑ,Singular,Genitive,любьве,etymological,36r13,71/13,
32479,любꙑ,Singular,Genitive,любь҆ве,etymological,104r03,207/3,
34523,любꙑ,Singular,Genitive,любь҆ве,etymological,111r02,221/2,
36839,любꙑ,Singular,Genitive,любь҆ве,etymological,118v14,236/14,
39688,любꙑ,Singular,Genitive,любь҆ве,etymological,127v05,254/5,
42053,любꙑ,Singular,Genitive,любь҆ве,etymological,134r23,267/23,
46251,любꙑ,Singular,Genitive,любь҆ве,etymological,147v14,294/14,
56669,любꙑ,Singular,Genitive,любь҆ве,etymological,179r06,357/6,
65359,любꙑ,Singular,Genitive,любь҆ве,etymological,203v04,406/4,
69105,любꙑ,Singular,Genitive,любь҆ве,etymological,213v02,426/2,
74230,любꙑ,Singular,Genitive,любь҆ве,etymological,227r30,453/30,
55612,смокꙑ,Singular,Genitive,смокве,etymological,175v25,350/25,
47250,смокꙑ,Singular,Genitive,смокꙿве,etymological,150v07,300/7,
35807,цръкꙑ,Singular,Genitive,цръкве,etymological,115r20,229/20,
22049,цръкꙑ,Singular,Genitive,цръкъве,etymological,67v21,132/21,
22247,цръкꙑ,Singular,Genitive,цръкъве,etymological,68r25,133/25,
30688,цръкꙑ,Singular,Genitive,цръкъве,etymological,97v24,194/24,
32814,цръкꙑ,Singular,Genitive,цръкъве,etymological,105r13,209/13,
39753,цръкꙑ,Singular,Genitive,цръкъве,etymological,127v18,254/18,
32773,цръкꙑ,Singular,Genitive,црькъве,etymological,105r05,209/5,
89405,цръкꙑ,Singular,Genitive,црькъве,etymological,265v06,530/6,
29498,цръкꙑ,Singular,Genitive,црь҆кве,etymological,93v18,186/18,
98705,цръкꙑ,Singular,Genitive,црь҆кве,etymological,71r23,139/23,
21960,цръкꙑ,Singular,Genitive,црь҆къве,etymological,67v07,132/7,
22090,цръкꙑ,Singular,Genitive,црь҆къве,etymological,67v29,132/29,
35787,цръкꙑ,Singular,Genitive,црь҆къве,etymological,115r15,229/15,
36869,цръкꙑ,Singular,Genitive,црь҆къве,etymological,118v20,236/20,
46539,цръкꙑ,Singular,Genitive,црь҆къве,etymological,148v05,296/5,
