адамъ,Adam
адъ,Hölle
апостолъ,Apostel
благодѣтель,"Wohltäter, Gnadenspender"
богъ,Gott
божьство,"Gottheit, Göttlichkeit"
болѣзнь,Krankheit
брань,Kampf
брашьно,Speise
брѣмѧ,"Last, Bürde"
бѣсъ,"böser Geist, Dämon"
врачь,Arzt
връхъ,"oberes Ende, Gipfel, Scheitel"
врѣмѧ,Zeit
вьсь,"Dorf, Siedlung"
гладъ,Hunger
голѫбь,Taube
господь,Herr
гость,Gast
градъ,"befestigte Stätte, Stadt"
грѣхъ,Sünde
даръ,Gabe
двьрь,Tür
диꙗволъ,Teufel
домъ,"Haus, Wohnung"
доухъ,Geist
дрѣво,Baum
дъщи,Tochter
дѣлатель,"Wirker, Täter, Arbeiter, Landmann"
дѣло,"Tat, Arbeit, Werk"
дѣти,Kinder
дѫбъ,"Baum, Eiche"
животъ,"Leben, Wesen"
жидовинъ,Jude
жидъ,Jude
заповѣдь,"Befehl, Gebot, Bestimmung"
звѣрь,"wildes Tier, Lebewesen"
знои,Hitze
зълодѣи,Übeltäter
имѧ,Name
иосифъ,Joseph
исоусъ,Jesus
исполинъ,Riese
исто,"Eingeweide, Inneres"
камꙑ,Stein
кесарь,Kaiser
коло,"Kreis, Rad, Scheibe"
корень,Wurzel
кръвь,Blut
къзнь,"Machenschaft, Falle"
лакъть,"Ellbogen, Elle"
ледъ,Eis
лице,Gesicht
львъ,Löwe
любꙑ,Liebe
людиѥ,Menschen
люто,Bosheit
мати,Mutter
медъ,Honig
миръ#1,"Friede, Ruhe"
миръ#2,Welt
морѥ,Meer
моси,Moses
мѫдрость,Weisheit
мѫжь,Mann
мѫчитель,Märtyrer
мꙑсль,Gedanke
напасть,"Gefahr, Versuchung"
небо,Himmel
ногъть,"Nagel, Klaue, Kralle"
ноздри,"Nasenlöcher, Nüstern"
область,"Macht, Herrschaft, Gebiet"
обличитель,"Ankläger, Verleumder"
огнь,Feuer
опасъ,Sorgfalt
оубожьство,"Armut, Bedürftigkeit"
оудъ,"Glied, Körperteil"
оучениѥ,"Lehren, Belehrung, Unterricht"
павьлъ,Paul
патриархъ,Patriarch
петръ,Petrus
печать,Siegel
пламꙑ,Flamme
племѧ,"Geschlecht, Stamm"
плодъ,Frucht
плѣнъ,Gefangenschaft
повѣсть,"Erzählung, Sage, Geschichte"
подражатель,"Nachahmer, Nacheiferer"
попъ,Priester
потъ,Schweiß
пръси,Brust
прѣльсть,"Trug, List, Irrtum"
пѣснь,"Lied, Gesang"
пѫть,"Weg, Straße"
рабъ,"Sklave, Untertan"
рать,"Krieg, Kampf, Heer"
родитель,"Erzeuger, Vater, Urheber"
родъ,"Geschlecht, Geburt, "
рѣчь,"Rede, Sprache, Sache"
рѧдъ,"Reihe, Nachfolge"
садъ,Garten
санъ,"Würde, Rang"
свѧтитель,"Priester, Bischof, Hierarch"
симонъ,Simon
слово,"Wort, Rede, Predigt"
смокꙑ,Feige
стражь,"Wächter, Wache"
страсть,"Leiden, Pein, Leidenschaft"
страхъ,"Furcht, Drohung"
сънъ,"Schlaf, Traum"
сѣмѧ,"Samen, Saat"
сѣть,"Netz, Falle"
сѫдъ,"Gericht, Gefäß"
сѫпостатъ,"Feind, Gegner, Widersacher"
сꙑнъ#1,Sohn
сꙑнъ#2,Turm
трепетъ,"Beben, Zittern, Furcht"
троудъ,"Plage, Anstrengung, Arbeit"
тѣло,"Leib, Körper"
хранитель,"Beschützer, Wächter"
христ(ос)ъ,Christus
цвѣтъ,"Blüte, Blume"
цръкꙑ,"Kirche, Versammlung, Gemeinde"
цѣсарь,Kaiser
цѣсарьствиѥ,"Königreich, Kaisertum"
чинъ,"Reihe, Folge, Ordnung"
чисмѧ,Zahl
чиститель,Priester
чловѣкъ,Mensch
чоудо,Wunder
чьсть,"Ehre, Achtung"
ѥлень,Hirsch
ꙗдъ,Gift
ꙗсли,Krippe
дьнь,Tag
змии,Drachen
плеще,Schulter
