Lemma,Number,Case,Form,Current Status,Proposed Status,Action
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,огн҄ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
огнь,Singular,Dative,о҅гню,,analogical,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,огн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
огнь,Singular,Locative,огн҄и,,ambiguous,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
огнь,Singular,Dative,о҅гню,,analogical,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
огнь,Singular,Genitive,о҆гʼн҄ѣ,,analogical,SET
огнь,Singular,Genitive,о҅гн҄ѣ,,analogical,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
огнь,Singular,Accusative,о҅гн҄ь,,ambiguous,SET
звѣрь,Singular,Accusative,ꙁвѣрь҆,,ambiguous,SET
огнь,Singular,Instrumental,о҅гн҄емъ,,,UNMATCHED
огнь,Singular,Accusative,огн҄ь,,ambiguous,SET
звѣрь,Plural,Dative,ꙁвѣремъ,,,UNMATCHED
господь,Singular,Locative,господи,,ambiguous,SET
звѣрь,Plural,Nominative,ꙁвѣриѥ҆,,etymological,SET
звѣрь,Plural,Nominative,ꙁвѣриѥ,,etymological,SET
господь,Singular,Dative,г꙯оу,,analogical,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Nominative,г͞ь,,ambiguous,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,г꙯оу,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Nominative,г꙯ь,,ambiguous,SET
господь,Singular,Vocative,г꙯и,,etymological,SET
господь,Singular,Dative,го꙯у,,analogical,SET
господь,Singular,Dative,го꙯у,,analogical,SET
