rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,9,двьрь,8,50,16.0%
2,5,заповѣдь,7,35,20.0%
3,1,ꙗсли,4,5,80.0%
4,3,пръси,3,10,30.0%
5,10,дѣти,3,27,11.1%
6,13,рать,3,29,10.3%
7,15,чьсть,3,51,5.9%
8,2,къзнь,2,3,66.7%
9,4,напасть,2,8,25.0%
10,8,брань,2,12,16.7%
11,11,рѣчь,2,18,11.1%
12,17,пѣснь,2,36,5.6%
13,19,болѣзнь,2,53,3.8%
14,21,страсть,2,58,3.4%
15,6,ноздри,1,5,20.0%
16,7,область,1,5,20.0%
17,12,сѣть,1,9,11.1%
18,14,повѣсть,1,10,10.0%
19,16,мꙑсль,1,17,5.9%
20,18,прѣльсть,1,25,4.0%
21,20,мѫдрость,1,27,3.7%
22,22,вьсь,1,29,3.4%
