rank_absolute,rank_relative,lemma,analogical,total,rate_pct
1,3,жидовинъ,43,65,66.2%
2,38,богъ,14,748,1.9%
3,7,оудъ,7,18,38.9%
4,16,миръ#2,7,65,10.8%
5,4,рѧдъ,4,8,50.0%
6,25,бѣсъ,4,98,4.1%
7,23,родъ,3,48,6.2%
8,27,грѣхъ,3,84,3.6%
9,37,исоусъ,3,156,1.9%
10,42,христ(ос)ъ,3,312,1.0%
11,5,ꙗдъ,2,4,50.0%
12,6,садъ,2,5,40.0%
13,9,сꙑнъ#2,2,9,22.2%
14,11,дѫбъ,2,13,15.4%
15,14,сѫдъ,2,18,11.1%
16,19,санъ,2,24,8.3%
17,20,петръ,2,28,7.1%
18,26,иосифъ,2,54,3.7%
19,31,диꙗволъ,2,68,2.9%
20,41,доухъ,2,136,1.5%
21,1,исполинъ,1,1,100.0%
22,2,опасъ,1,1,100.0%
23,8,плѣнъ,1,4,25.0%
24,10,сѫпостатъ,1,6,16.7%
25,12,трепетъ,1,7,14.3%
26,13,гладъ,1,8,12.5%
27,15,потъ,1,9,11.1%
28,17,цвѣтъ,1,10,10.0%
29,18,симонъ,1,11,9.1%
30,21,попъ,1,14,7.1%
31,22,патриархъ,1,15,6.7%
32,24,львъ,1,19,5.3%
33,28,животъ,1,30,3.3%
34,29,плодъ,1,31,3.2%
35,30,миръ#1,1,33,3.0%
36,32,сънъ,1,34,2.9%
37,33,апостолъ,1,36,2.8%
38,34,троудъ,1,36,2.8%
39,35,адъ,1,44,2.3%
40,36,адамъ,1,45,2.2%
41,39,страхъ,1,64,1.6%
42,40,павьлъ,1,65,1.5%
43,43,рабъ,1,155,0.6%
44,44,градъ,1,208,0.5%
45,45,чловѣкъ,1,230,0.4%
