DtSg,,,,,,,
abs.,,,,,rel.,,
богъ,\rec{ŏ}-,14,160,,адъ,\rec{ŏ}-,100 \%
господь,\rec{ĭ}-,13,58,,симонъ,\rec{ŏ}-,100 \%
миръ#2,\rec{ŏ}-,3,12,,кесарь,\rec{jŏ}-,50 \%
исоусъ,\rec{ŏ}-,3,18,,львъ,\rec{ŏ}-,50 \%
христ(ос)ъ,\rec{ŏ}-,3,44,,петръ,\rec{ŏ}-,40 \%
петръ,\rec{ŏ}-,2,5,,врачь,\rec{jŏ}-,33 \%
иосифъ,\rec{ŏ}-,2,7,,иосифъ,\rec{ŏ}-,29 \%
диꙗволъ,\rec{ŏ}-,2,14,,миръ#2,\rec{ŏ}-,25 \%
адъ,\rec{ŏ}-,1,1,,патриархъ,\rec{ŏ}-,25 \%
симонъ,\rec{ŏ}-,1,1,,господь,\rec{ĭ}-,22 \%
кесарь,\rec{jŏ}-,1,2,,моси,\rec{jŏ}-,20 \%
львъ,\rec{ŏ}-,1,2,,исоусъ,\rec{ŏ}-,17 \%
врачь,\rec{jŏ}-,1,3,,диꙗволъ,\rec{ŏ}-,14 \%
патриархъ,\rec{ŏ}-,1,4,,павьлъ,\rec{ŏ}-,12 \%
моси,\rec{jŏ}-,1,5,,адамъ,\rec{ŏ}-,11 \%
павьлъ,\rec{ŏ}-,1,8,,богъ,\rec{ŏ}-,9 \%
адамъ,\rec{ŏ}-,1,9,,сꙑнъ#1,\rec{ŭ}-,8 \%
сꙑнъ#1,\rec{ŭ}-,1,13,,рабъ,\rec{ŏ}-,7 \%
рабъ,\rec{ŏ}-,1,14,,христ(ос)ъ,\rec{ŏ}-,7 \%
мѫжь,\rec{jŏ}-,1,18,,мѫжь,\rec{jŏ}-,6 \%
чловѣкъ,\rec{ŏ}-,1,18,,чловѣкъ,\rec{ŏ}-,6 \%
цѣсарь,\rec{jŏ}-,1,44,,цѣсарь,\rec{jŏ}-,2 \%
богъ,\rec{ŏ}-,14,160,,адъ,\rec{ŏ}-,100 \%
господь,\rec{ĭ}-,13,58,,симонъ,\rec{ŏ}-,100 \%
миръ#2,\rec{ŏ}-,3,12,,кесарь,\rec{jŏ}-,50 \%
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
NGPl,,,,,,,
abs.,,,,,rel.,,
оудъ,\rec{ŏ}-,7,8,,змии,\rec{jŏ}-,100 \%
даръ,\rec{ŭ}-,6,8,,домъ,\rec{ŭ}-,100 \%
сꙑнъ#1,\rec{ŭ}-,5,9,,волъ,\rec{ŭ}-,100 \%
змии,\rec{jŏ}-,4,4,,знои,\rec{jŏ}-,100 \%
чинъ,\rec{ŭ}-,4,5,,садъ,\rec{ŏ}-,100 \%
бѣсъ,\rec{ŏ}-,4,17,,сѫдъ,\rec{ŏ}-,100 \%
домъ,\rec{ŭ}-,3,3,,врачь,\rec{jŏ}-,100 \%
грѣхъ,\rec{ŏ}-,3,18,,исполинъ,\rec{ŏ}-,100 \%
волъ,\rec{ŭ}-,2,2,,попъ,\rec{ŏ}-,100 \%
знои,\rec{jŏ}-,2,2,,санъ,\rec{ŏ}-,100 \%
садъ,\rec{ŏ}-,2,2,,сꙑнъ#2,\rec{ŏ}-,100 \%
сѫдъ,\rec{ŏ}-,2,2,,оудъ,\rec{ŏ}-,88 \%
доухъ,\rec{ŏ}-,2,4,,чинъ,\rec{ŭ}-,80 \%
врачь,\rec{jŏ}-,1,1,,даръ,\rec{ŭ}-,75 \%
исполинъ,\rec{ŏ}-,1,1,,сꙑнъ#1,\rec{ŭ}-,56 \%
попъ,\rec{ŏ}-,1,1,,доухъ,\rec{ŏ}-,50 \%
санъ,\rec{ŏ}-,1,1,,потъ,\rec{ŏ}-,50 \%
сꙑнъ#2,\rec{ŏ}-,1,1,,родъ,\rec{ŏ}-,50 \%
потъ,\rec{ŏ}-,1,2,,цвѣтъ,\rec{ŏ}-,50 \%
родъ,\rec{ŏ}-,1,2,,плодъ,\rec{ŏ}-,33 \%
цвѣтъ,\rec{ŏ}-,1,2,,животъ,\rec{ŏ}-,25 \%
плодъ,\rec{ŏ}-,1,3,,бѣсъ,\rec{ŏ}-,24 \%
животъ,\rec{ŏ}-,1,4,,градъ,\rec{ŏ}-,20 \%
градъ,\rec{ŏ}-,1,5,,троудъ,\rec{ŏ}-,20 \%
троудъ,\rec{ŏ}-,1,5,,грѣхъ,\rec{ŏ}-,17 \%
