token_idx,form,bform,lemma,pos,morph,case,number,gender,stem,stemtype,rel,info,after,book,chapter,folio,line,bfolio,bline
1367,о҄удовъ,,оудъ,Nb,-p---mg--i,G,Pl,masc,o stem masc,analogical,obl,new,. ,1,1,005r,9,005r,9
2925,воловъ,,волъ,Nb,-p---mg--i,G,Pl,masc,ŭ stem,etymological,part,info_unannotatable,,1,2,010r,1,010r,1
5626,домовъ,,домъ,Nb,-p---mg--i,G,Pl,masc,ŭ stem,etymological,obl,new,,1,3,018r,8,018r,8
6501,бѣсовъ,,бѣсъ,Nb,-p---mg--i,G,Pl,masc,o stem masc,analogical,obl,old_inact,,1,3,020v,15,020v,15
6929,воловъ,,волъ,Nb,-p---mg--i,G,Pl,masc,ŭ stem,etymological,part,,. ,1,3,021v,29,021v,29
8685,доухове,,доухъ,Nb,-p---mn--i,N,Pl,masc,o stem masc,analogical,sub,,,1,3,027r,16,,
8754,хръстови,,христ(ос)ъ,Ne,-s---md--i,Dt,Sg,masc,o stem masc,analogical,obl,,,1,3,027v,1,027v,1
11398,господеви,,господь,Nb,-s---md--i,Dt,Sg,masc,i stem masc,analogical,obl,,,1,5,035v,20,035v,20
12521,змиѥве,ꙁмиѥве,змии,Nb,-p---mn--i,N,Pl,masc,jo stem masc,analogical,sub,,,1,5,040r,5,040r,5
13350,господеви,,господь,Nb,-s---md--i,Dt,Sg,masc,i stem masc,analogical,obl,,. ,1,5,042r,22,042r,22
14271,цѣсареви,,цѣсарь,Nb,-s---md--i,Dt,Sg,masc,jo stem masc,analogical,obl,,,1,6,045r,21,045r,21
14592,о҄удовъ,,оудъ,Nb,-p---mg--i,G,Pl,masc,o stem masc,analogical,obl,,,1,6,046r,21,046r,21
14793,рабови,,рабъ,Nb,-s---md--i,Dt,Sg,masc,o stem masc,analogical,adv,,,1,6,046v,28,046v,28
14911,дия͑волови,диꙗ҅волови,диꙗволъ,Nb,-s---md--i,Dt,Sg,masc,o stem masc,analogical,obl,,. ,1,6,047r,18,,
15306,паулови,,павьлъ,Ne,-s---md--i,Dt,Sg,masc,o stem masc,analogical,narg,,. ,1,6,048v,6,048v,6
15398,сынове,сꙑнове,сꙑнъ#2,Nb,-p---mn--i,N,Pl,masc,o stem masc,analogical,sub,,,1,6,048v,21,048v,21
15574,мѫжеви,,мѫжь,Nb,-s---md--i,Dt,Sg,masc,jo stem masc,analogical,sub,,. ,1,6,049r,23,049r,23
15818,мирови,,миръ#2,Nb,-s---md--i,Dt,Sg,masc,o stem masc,analogical,adv,,. ,1,6,050r,12,050r,12
17424,к̑есареви,к҄есареви,кесарь,Nb,-s---md--i,Dt,Sg,masc,jo stem masc,analogical,obl,,. ,1,7,054v,17,054v,17
19079,бѣсовъ,,бѣсъ,Nb,-p---mg--i,G,Pl,masc,o stem masc,analogical,atr,,. ,1,7,059r,27,059r,27
25374,львови,,львъ,Nb,-s---md--i,Dt,Sg,masc,o stem masc,analogical,atr,,· ,1,12,080v,9,080v,9
27594,зноѥве,ꙁноѥве,знои,Nb,-p---mn--i,N,Pl,masc,jo stem masc,analogical,sub,kind,,1,14,087v,29,,
28065,о҄удовъ,,оудъ,Nb,-p---mg--i,G,Pl,masc,o stem masc,analogical,obl,,,1,15,038v,14,038v,14
31709,градовъ,,градъ,Nb,-p---mg--i,G,Pl,masc,o stem masc,analogical,obl,,,1,16,101r,21,101r,21
32884,дарове,,даръ,Nb,-p---mn--i,N,Pl,masc,ŭ stem,etymological,sub,,,1,17,105v,1,105v,1
34324,попове,,попъ,Nb,-p---mn--i,N,Pl,masc,o stem masc,analogical,sub,,,1,18,110r,19,110r,19
35561,ꙁмиѥ҅ве,,змии,Nb,-p---mn--i,N,Pl,masc,jo stem masc,analogical,sub,,,1,19,114r,29,114r,29
35829,ꙁмиѥ҅ве,,змии,Nb,-p---mn--i,N,Pl,masc,jo stem masc,analogical,sub,,,1,19,115r,24,115r,24
36960,доухове,,доухъ,Nb,-p---mn--i,N,Pl,masc,o stem masc,analogical,xobj,,,2,20,119r,8,001r,8
38178,їѡ̑сифови,їѡ҄сифови,иосифъ,Ne,-s---md--i,Dt,Sg,masc,o stem masc,analogical,obl,,· ,2,21,122v,17,004v,17
