rank_absolute,rank_relative,lemma,stem_label,u_stem,total,rate_pct
1,17,богъ,\rec{ŏ}-,14,160,9 \%
2,11,господь,\rec{ĭ}-,13,58,22 \%
3,9,миръ#2,\rec{ŏ}-,3,12,25 \%
4,13,исоусъ,\rec{ŏ}-,3,18,17 \%
5,20,христ(ос)ъ,\rec{ŏ}-,3,44,7 \%
6,6,петръ,\rec{ŏ}-,2,5,40 \%
7,8,иосифъ,\rec{ŏ}-,2,7,29 \%
8,14,диꙗволъ,\rec{ŏ}-,2,14,14 \%
9,1,адъ,\rec{ŏ}-,1,1,100 \%
10,2,симонъ,\rec{ŏ}-,1,1,100 \%
11,3,благодѣтель,,1,2,50 \%
12,4,кесарь,\rec{jŏ}-,1,2,50 \%
13,5,львъ,\rec{ŏ}-,1,2,50 \%
14,7,врачь,\rec{jŏ}-,1,3,33 \%
15,10,патриархъ,\rec{ŏ}-,1,4,25 \%
16,12,моси,\rec{jŏ}-,1,5,20 \%
17,15,павьлъ,\rec{ŏ}-,1,8,12 \%
18,16,адамъ,\rec{ŏ}-,1,9,11 \%
19,18,сꙑнъ#1,\rec{ŭ}-,1,13,8 \%
20,19,рабъ,\rec{ŏ}-,1,14,7 \%
21,21,мѫжь,\rec{jŏ}-,1,18,6 \%
22,22,чловѣкъ,\rec{ŏ}-,1,18,6 \%
23,23,цѣсарь,\rec{jŏ}-,1,44,2 \%
24,24,бѣсъ,\rec{ŏ}-,0,4,0 \%
25,25,градъ,\rec{ŏ}-,0,7,0 \%
26,26,грѣхъ,\rec{ŏ}-,0,5,0 \%
27,27,домъ,\rec{ŭ}-,0,2,0 \%
28,28,доухъ,\rec{ŏ}-,0,10,0 \%
29,29,животъ,\rec{ŏ}-,0,1,0 \%
30,30,знои,\rec{jŏ}-,0,1,0 \%
31,31,попъ,\rec{ŏ}-,0,2,0 \%
32,32,потъ,\rec{ŏ}-,0,1,0 \%
33,33,родъ,\rec{ŏ}-,0,4,0 \%
34,34,садъ,\rec{ŏ}-,0,2,0 \%
35,35,санъ,\rec{ŏ}-,0,1,0 \%
36,36,сѫдъ,\rec{ŏ}-,0,3,0 \%
37,37,троудъ,\rec{ŏ}-,0,1,0 \%
38,38,цвѣтъ,\rec{ŏ}-,0,1,0 \%
39,39,чинъ,\rec{ŭ}-,0,2,0 \%
