rank_absolute,rank_relative,lemma,stem_label,u_stem,total,rate_pct
1,12,оудъ,\rec{ŏ}-,7,8,88 \%
2,14,даръ,\rec{ŭ}-,6,8,75 \%
3,15,сꙑнъ#1,\rec{ŭ}-,5,9,56 \%
4,1,змии,\rec{jŏ}-,4,4,100 \%
5,13,чинъ,\rec{ŭ}-,4,5,80 \%
6,22,бѣсъ,\rec{ŏ}-,4,17,24 \%
7,2,домъ,\rec{ŭ}-,3,3,100 \%
8,25,грѣхъ,\rec{ŏ}-,3,18,17 \%
9,3,волъ,\rec{ŭ}-,2,2,100 \%
10,4,знои,\rec{jŏ}-,2,2,100 \%
11,5,садъ,\rec{ŏ}-,2,2,100 \%
12,6,сѫдъ,\rec{ŏ}-,2,2,100 \%
13,16,доухъ,\rec{ŏ}-,2,4,50 \%
14,7,врачь,\rec{jŏ}-,1,1,100 \%
15,8,исполинъ,\rec{ŏ}-,1,1,100 \%
16,9,попъ,\rec{ŏ}-,1,1,100 \%
17,10,санъ,\rec{ŏ}-,1,1,100 \%
18,11,сꙑнъ#2,\rec{ŏ}-,1,1,100 \%
19,17,потъ,\rec{ŏ}-,1,2,50 \%
20,18,родъ,\rec{ŏ}-,1,2,50 \%
21,19,цвѣтъ,\rec{ŏ}-,1,2,50 \%
22,20,плодъ,\rec{ŏ}-,1,3,33 \%
23,21,животъ,\rec{ŏ}-,1,4,25 \%
24,23,градъ,\rec{ŏ}-,1,5,20 \%
25,24,троудъ,\rec{ŏ}-,1,5,20 \%
26,26,богъ,\rec{ŏ}-,0,28,0 \%
27,27,господь,\rec{ĭ}-,0,1,0 \%
28,28,львъ,\rec{ŏ}-,0,3,0 \%
29,29,мѫжь,\rec{jŏ}-,0,30,0 \%
30,30,рабъ,\rec{ŏ}-,0,14,0 \%
31,31,цѣсарь,\rec{jŏ}-,0,10,0 \%
32,32,чловѣкъ,\rec{ŏ}-,0,36,0 \%
