rank_absolute,rank_relative,lemma,stem_label,u_stem,total,rate_pct
1,41,богъ,\rec{ŏ}-,14,188,7 \%
2,27,господь,\rec{ĭ}-,13,59,22 \%
3,7,оудъ,\rec{ŏ}-,7,8,88 \%
4,8,даръ,\rec{ŭ}-,6,8,75 \%
5,24,сꙑнъ#1,\rec{ŭ}-,6,22,27 \%
6,1,змии,\rec{jŏ}-,4,4,100 \%
7,11,чинъ,\rec{ŭ}-,4,7,57 \%
8,31,бѣсъ,\rec{ŏ}-,4,21,19 \%
9,10,домъ,\rec{ŭ}-,3,5,60 \%
10,25,миръ#2,\rec{ŏ}-,3,12,25 \%
11,32,исоусъ,\rec{ŏ}-,3,18,17 \%
12,37,грѣхъ,\rec{ŏ}-,3,23,13 \%
13,42,христ(ос)ъ,\rec{ŏ}-,3,44,7 \%
14,2,волъ,\rec{ŭ}-,2,2,100 \%
15,9,знои,\rec{jŏ}-,2,3,67 \%
16,12,врачь,\rec{jŏ}-,2,4,50 \%
17,13,садъ,\rec{ŏ}-,2,4,50 \%
18,17,петръ,\rec{ŏ}-,2,5,40 \%
19,18,сѫдъ,\rec{ŏ}-,2,5,40 \%
20,23,иосифъ,\rec{ŏ}-,2,7,29 \%
21,35,диꙗволъ,\rec{ŏ}-,2,14,14 \%
22,36,доухъ,\rec{ŏ}-,2,14,14 \%
23,3,адъ,\rec{ŏ}-,1,1,100 \%
24,4,исполинъ,\rec{ŏ}-,1,1,100 \%
25,5,симонъ,\rec{ŏ}-,1,1,100 \%
26,6,сꙑнъ#2,\rec{ŏ}-,1,1,100 \%
27,14,благодѣтель,,1,2,50 \%
28,15,кесарь,\rec{jŏ}-,1,2,50 \%
29,16,санъ,\rec{ŏ}-,1,2,50 \%
30,19,плодъ,\rec{ŏ}-,1,3,33 \%
31,20,попъ,\rec{ŏ}-,1,3,33 \%
32,21,потъ,\rec{ŏ}-,1,3,33 \%
33,22,цвѣтъ,\rec{ŏ}-,1,3,33 \%
34,26,патриархъ,\rec{ŏ}-,1,4,25 \%
35,28,животъ,\rec{ŏ}-,1,5,20 \%
36,29,львъ,\rec{ŏ}-,1,5,20 \%
37,30,моси,\rec{jŏ}-,1,5,20 \%
38,33,родъ,\rec{ŏ}-,1,6,17 \%
39,34,троудъ,\rec{ŏ}-,1,6,17 \%
40,38,павьлъ,\rec{ŏ}-,1,8,12 \%
41,39,адамъ,\rec{ŏ}-,1,9,11 \%
42,40,градъ,\rec{ŏ}-,1,12,8 \%
43,43,рабъ,\rec{ŏ}-,1,28,4 \%
44,44,мѫжь,\rec{jŏ}-,1,48,2 \%
45,45,цѣсарь,\rec{jŏ}-,1,54,2 \%
46,46,чловѣкъ,\rec{ŏ}-,1,54,2 \%
