target_idx,target_stemtype,target_form,target_lemma,target_chapter,target_folio,target_line,position,is_target,form,lemma,stem,stemtype,case,number,chapter,folio,line
1518,analogical,словомъ,слово,1,005v,09,-3,False,дръжимыи͑хъ,дрьжати,,,G,Pl,1,005v,08
1518,analogical,словомъ,слово,1,005v,09,-2,False,а͑домъ,адъ,o stem masc,etymological,I,Sg,1,005v,08
1518,analogical,словомъ,слово,1,005v,09,-1,False,свои͑мъ,свои,,,I,Sg,1,005v,09
1518,analogical,словомъ,слово,1,005v,09,0,True,словомъ,слово,s stem,analogical,I,Sg,1,005v,09
1518,analogical,словомъ,слово,1,005v,09,1,False,ѥ͑же,иже,,,N,Sg,1,005v,09
1518,analogical,словомъ,слово,1,005v,09,2,False,ѥ͑стъ,бꙑти,,,,Sg,1,005v,09
1518,analogical,словомъ,слово,1,005v,09,3,False,ѥ͑го,и,,,G,Sg,1,005v,09
1780,analogical,словомъ,слово,1,006r,27,-3,False,сⱕ,себе,,,A,Sg,1,006r,27
1780,analogical,словомъ,слово,1,006r,27,-2,False,съ,съ,,,,,1,006r,27
1780,analogical,словомъ,слово,1,006r,27,-1,False,бж͆иѥ͑мъ,божии,,,I,Sg,1,006r,27
1780,analogical,словомъ,слово,1,006r,27,0,True,словомъ,слово,s stem,analogical,I,Sg,1,006r,27
1780,analogical,словомъ,слово,1,006r,27,1,False,и͑,и,,,,,1,006r,28
1780,analogical,словомъ,слово,1,006r,27,2,False,того,тъ,,,G,Sg,1,006r,28
1780,analogical,словомъ,слово,1,006r,27,3,False,ради,ради,,,,,1,006r,28
5857,analogical,тѣломь,тѣло,3,018v,21,-3,False,а͑кы,акꙑ,,,,,3,018v,20
5857,analogical,тѣломь,тѣло,3,018v,21,-2,False,старица,старица,ja stem fem,,N,Sg,3,018v,20
5857,analogical,тѣломь,тѣло,3,018v,21,-1,False,растрьзана,растрьѕати,,,N,Sg,3,018v,21
5857,analogical,тѣломь,тѣло,3,018v,21,0,True,тѣломь,тѣло,s stem,analogical,I,Sg,3,018v,21
5857,analogical,тѣломь,тѣло,3,018v,21,1,False,и͑,и,,,,,3,018v,21
5857,analogical,тѣломь,тѣло,3,018v,21,2,False,вь͗скрича,въскричати,,,,Sg,3,018v,21
5857,analogical,тѣломь,тѣло,3,018v,21,3,False,весь,вьсь,,,N,Sg,3,018v,21
13595,analogical,словомъ,слово,6,043r,10,-3,False,шарописател҄е,шарописатель,tel stem,etymological,N,Pl,6,043r,09
13595,analogical,словомъ,слово,6,043r,10,-2,False,начрь͗таѭ҄тʼ,начрьтати,,,,Pl,6,043r,09
13595,analogical,словомъ,слово,6,043r,10,-1,False,о͑ви,овъ,,,N,Pl,6,043r,10
13595,analogical,словомъ,слово,6,043r,10,0,True,словомъ,слово,s stem,analogical,I,Sg,6,043r,10
13595,analogical,словомъ,слово,6,043r,10,1,False,о҄украшаѭ҄ште,оукрашати,,,N,Pl,6,043r,10
13595,analogical,словомъ,слово,6,043r,10,2,False,а͑,а,,,,,6,043r,10
13595,analogical,словомъ,слово,6,043r,10,3,False,сии͗,сь,,,N,Pl,6,043r,10
17042,analogical,словомъ,слово,7,053v,09,-3,False,а͑нѳупатъ,анѳѵпатъ,o stem masc,ambiguous,N,Sg,7,053v,08
17042,analogical,словомъ,слово,7,053v,09,-2,False,рече,рещи,,,,Sg,7,053v,09
17042,analogical,словомъ,слово,7,053v,09,-1,False,ть͗мномъ,тьмьнъ,,,I,Sg,7,053v,09
17042,analogical,словомъ,слово,7,053v,09,0,True,словомъ,слово,s stem,analogical,I,Sg,7,053v,09
17042,analogical,словомъ,слово,7,053v,09,1,False,хоулиши,хоулити,,,,Sg,7,053v,09
17042,analogical,словомъ,слово,7,053v,09,2,False,мь͗нꙙ,мьнѣти,,,N,Sg,7,053v,09
17042,analogical,словомъ,слово,7,053v,09,3,False,зазь͗рѣти,зазьрѣти,,,,,7,053v,10
17055,etymological,словесемъ,слово,7,053v,11,-3,False,ст͆ꙑи,свѧтъ,,,N,Sg,7,053v,11
17055,etymological,словесемъ,слово,7,053v,11,-2,False,кодратъ,кодратъ,o stem masc,ambiguous,N,Sg,7,053v,11
17055,etymological,словесемъ,слово,7,053v,11,-1,False,рече,рещи,,,,Sg,7,053v,11
17055,etymological,словесемъ,слово,7,053v,11,0,True,словесемъ,слово,s stem,etymological,I,Sg,7,053v,11
17055,etymological,словесемъ,слово,7,053v,11,1,False,ть͗мнꙑи͗мъ,тьмьнъ,,,I,Sg,7,053v,12
17055,etymological,словесемъ,слово,7,053v,11,2,False,добрѣ,добрѣ,,,,,7,053v,12
17055,etymological,словесемъ,слово,7,053v,11,3,False,рече,рещи,,,,Sg,7,053v,12
17070,etymological,словесемъ,слово,7,053v,14,-3,False,свѣтъла,свѣтьлъ,,,N,Sg,7,053v,14
17070,etymological,словесемъ,слово,7,053v,14,-2,False,свѣтъломъ,свѣтьлъ,,,I,Sg,7,053v,14
17070,etymological,словесемъ,слово,7,053v,14,-1,False,о̑убо,оубо,,,,,7,053v,14
17070,etymological,словесемъ,слово,7,053v,14,0,True,словесемъ,слово,s stem,etymological,I,Sg,7,053v,14
17070,etymological,словесемъ,слово,7,053v,14,1,False,прѣродител̑ьнꙑи͗ми,прародительнъ,,,I,Pl,7,053v,15
17070,etymological,словесемъ,слово,7,053v,14,2,False,начь͗нѫ,начѧти,,,,Sg,7,053v,15
17070,etymological,словесемъ,слово,7,053v,14,3,False,гласꙑ,гласъ,o stem masc,etymological,I,Pl,7,053v,15
24815,analogical,тѣломъ,тѣло,11,078v,26,-3,False,погребете,погрети,,,,Pl,11,078v,26
24815,analogical,тѣломъ,тѣло,11,078v,26,-2,False,съ,съ,,,,,11,078v,26
24815,analogical,тѣломъ,тѣло,11,078v,26,-1,False,мои҅мъ,мои,,,I,Sg,11,078v,26
24815,analogical,тѣломъ,тѣло,11,078v,26,0,True,тѣломъ,тѣло,s stem,analogical,I,Sg,11,078v,26
24815,analogical,тѣломъ,тѣло,11,078v,26,1,False,и҅,и,,,,,11,078v,26
24815,analogical,тѣломъ,тѣло,11,078v,26,2,False,се,сь,,,A,Sg,11,078v,26
24815,analogical,тѣломъ,тѣло,11,078v,26,3,False,рекъ,рещи,,,N,Sg,11,078v,26
25226,analogical,тѣломъ,тѣло,12,080r,12,-3,False,сѫдънꙑи,сѫдьнъ,,,A,Sg,12,080r,12
25226,analogical,тѣломъ,тѣло,12,080r,12,-2,False,доушеѭ̑,доуша,ja stem fem,,I,Sg,12,080r,12
25226,analogical,тѣломъ,тѣло,12,080r,12,-1,False,и҅,и,,,,,12,080r,12
25226,analogical,тѣломъ,тѣло,12,080r,12,0,True,тѣломъ,тѣло,s stem,analogical,I,Sg,12,080r,12
25226,analogical,тѣломъ,тѣло,12,080r,12,1,False,҅Антонинъ,антонинъ,o stem masc,ambiguous,N,Sg,12,080r,13
25226,analogical,тѣломъ,тѣло,12,080r,12,2,False,глагола,глаголати,,,,Sg,12,080r,13
25226,analogical,тѣломъ,тѣло,12,080r,12,3,False,въꙁгнѣтите,възгнѣтити,,,,Pl,12,080r,13
26835,analogical,тѣломъ,тѣло,13,085r,25,-3,False,сꙙ,себе,,,A,Sg,13,085r,24
26835,analogical,тѣломъ,тѣло,13,085r,25,-2,False,а҅ште,аще,,,,,13,085r,25
26835,analogical,тѣломъ,тѣло,13,085r,25,-1,False,не,не,,,,,13,085r,25
26835,analogical,тѣломъ,тѣло,13,085r,25,0,True,тѣломъ,тѣло,s stem,analogical,I,Sg,13,085r,25
26835,analogical,тѣломъ,тѣло,13,085r,25,1,False,и҅мꙿже,иже,,,I,Sg,13,085r,25
26835,analogical,тѣломъ,тѣло,13,085r,25,2,False,съгрѣши,съгрѣшити,,,,Sg,13,085r,25
26835,analogical,тѣломъ,тѣло,13,085r,25,3,False,и҅,и,,,,,13,085r,25
27977,analogical,словомъ,слово,15,038r,24,-3,False,и҅,и,,,,,15,038r,23
27977,analogical,словомъ,слово,15,038r,24,-2,False,красънꙑ,красьнъ,,,A,Pl,15,038r,24
27977,analogical,словомъ,слово,15,038r,24,-1,False,и҅,и,,,,,15,038r,24
27977,analogical,словомъ,слово,15,038r,24,0,True,словомъ,слово,s stem,analogical,I,Sg,15,038r,24
27977,analogical,словомъ,слово,15,038r,24,1,False,о҄умѫдренꙑ,оумѫдрити,,,A,Pl,15,038r,24
27977,analogical,словомъ,слово,15,038r,24,2,False,и҅,и,,,,,15,038r,25
27977,analogical,словомъ,слово,15,038r,24,3,False,како,како,,,,,15,038r,25
34840,analogical,словомъ,слово,19,112r,06,-3,False,дивиѧѧ,дивии,,,A,Pl,19,112r,05
34840,analogical,словомъ,слово,19,112r,06,-2,False,животꙑ,животъ,o stem masc,ambiguous,A,Pl,19,112r,05
34840,analogical,словомъ,слово,19,112r,06,-1,False,о҄улавь҆ꙗѧ,оулавлꙗти,,,N,Sg,19,112r,05
34840,analogical,словомъ,слово,19,112r,06,0,True,словомъ,слово,s stem,analogical,I,Sg,19,112r,06
34840,analogical,словомъ,слово,19,112r,06,1,False,хс꙯овомъ,христ(ос)овъ,,,I,Sg,19,112r,06
34840,analogical,словомъ,слово,19,112r,06,2,False,вь҆слѣдьствоваста,въслѣдьствовати,,,,Du,19,112r,06
34840,analogical,словомъ,слово,19,112r,06,3,False,же,же,,,,,19,112r,07
34892,etymological,словесемь҆,слово,19,112r,17,-3,False,рабъ,рабъ,o stem masc,ambiguous,N,Sg,19,112r,16
34892,etymological,словесемь҆,слово,19,112r,17,-2,False,божии,божии,,,N,Sg,19,112r,16
34892,etymological,словесемь҆,слово,19,112r,17,-1,False,а҅ртемонъ,артемонъ,o stem masc,ambiguous,N,Sg,19,112r,16
34892,etymological,словесемь҆,слово,19,112r,17,0,True,словесемь҆,слово,s stem,etymological,I,Sg,19,112r,17
34892,etymological,словесемь҆,слово,19,112r,17,1,False,христосомъ,христ(ос)овъ,,,I,Sg,19,112r,17
34892,etymological,словесемь҆,слово,19,112r,17,2,False,си,сь,,,N,Pl,19,112r,17
34892,etymological,словесемь҆,слово,19,112r,17,3,False,о҄уловь҆ѥ҅ни,оуловити,,,N,Pl,19,112r,17
36185,etymological,небесемь҆,небо,19,116v,04,-3,False,вь҆се,вьсь,,,A,Sg,19,116v,04
36185,etymological,небесемь҆,небо,19,116v,04,-2,False,чоудимоѥ,чоудимъ,,,A,Sg,19,116v,04
36185,etymological,небесемь҆,небо,19,116v,04,-1,False,подъ,подъ,,,,,19,116v,04
36185,etymological,небесемь҆,небо,19,116v,04,0,True,небесемь҆,небо,s stem,etymological,I,Sg,19,116v,04
36185,etymological,небесемь҆,небо,19,116v,04,1,False,и҅,и,,,,,19,116v,04
36185,etymological,небесемь҆,небо,19,116v,04,2,False,господь,господь,i stem masc,ambiguous,N,Sg,19,116v,04
36185,etymological,небесемь҆,небо,19,116v,04,3,False,ѥ҅си,бꙑти,,,,Sg,19,116v,05
38965,analogical,словомъ,слово,21,125r,18,-3,False,мене,азъ,,,G,Sg,21,125r,17
38965,analogical,словомъ,слово,21,125r,18,-2,False,сътворь҆шоуо̑умоу,сътворити,,,Dt,Sg,21,125r,17
38965,analogical,словомъ,слово,21,125r,18,-1,False,вь҆сѣчь҆скаꙗ҆,вьсꙗчьскъ,,,A,Pl,21,125r,17
38965,analogical,словомъ,слово,21,125r,18,0,True,словомъ,слово,s stem,analogical,I,Sg,21,125r,18
38965,analogical,словомъ,слово,21,125r,18,1,False,почто,почьто,,,,,21,125r,18
38965,analogical,словомъ,слово,21,125r,18,2,False,въ,въ,,,,,21,125r,18
38965,analogical,словомъ,слово,21,125r,18,3,False,дь҆вѣ,дъва,,,A,Du,21,125r,18
43608,analogical,словомъ,слово,24,139r,14,-3,False,ꙁаконоположениѥ҆,законоположениѥ,jo stem neutr,etymological,A,Sg,24,139r,13
43608,analogical,словомъ,слово,24,139r,14,-2,False,и҅,и,,,,,24,139r,14
43608,analogical,словомъ,слово,24,139r,14,-1,False,видъ,видъ,o stem masc,ambiguous,A,Sg,24,139r,14
43608,analogical,словомъ,слово,24,139r,14,0,True,словомъ,слово,s stem,analogical,I,Sg,24,139r,14
